latitude,longitude,weights
-35.1198409,138.476227,270000
-35.1472196,138.476227,376000
-35.168,138.472,450000
-35.266,138.465,330000
-35.09814,138.527444,318750
-35.09,138.55,303000
-35.191,138.478,326000
-35.1979097,138.496455,0
-35.173,138.487,380000
-35.202,138.488,406250
-35.33,138.448,291250
-35.3500635,138.5015331,0
-35.2369804,138.5096886,0
-35.24631,138.62283,0
-34.887525,138.624461,755000
-35.2800175,138.5165348,0
-35.2743124,138.5559895,447500
-35.2953597,138.551613,0
-35.118261,138.5437358,400000
-34.672,138.667,290000
-34.6416029,138.6539268,525000
-34.6383421,138.7661021,0
-34.682,138.702,290000
-34.6457618,138.5102836,0
-34.708611,138.705556,274000
-34.691389,138.668056,184950
-34.7185389,138.6288642,0
-34.705,138.66,0
-34.72,138.673,0
-34.69906,138.69303,176000
-34.72625,138.681,213725
-34.7338017,138.6714773,239000
-34.70079,138.67578,167000
-34.71239,138.68543,186000
-34.74126,138.65639,155000
-34.7475748,138.6714773,225000
-34.62893,138.74885,330000
-34.6946,138.655,0
-34.7629557,138.7640222,0
-34.7471145,138.6815087,306000
-34.625,138.696,0
-34.7354281,138.8124093,0
-34.66973,138.64501,0
-34.668,138.7,280000
-34.64716,138.67813,0
-34.659,138.666,298750
-34.7155458,138.7662817,590350
-34.6876893,138.6333343,0
-34.6584706,138.6132442,0
-34.7549047,138.7778197,0
-34.685833,138.686944,277500
-34.6768,138.67674,216000
-34.7382025,138.534511,0
-34.6776509,138.7453293,0
-34.6743048,138.5560901,480000
-34.7296627,138.5759347,0
-34.6620474,138.771558,0
-34.861,138.516,387500
-34.859,138.561,388750
-34.8360061,138.4999707,372500
-34.861,138.597,400000
-34.873,138.614,505000
-34.859,138.617,375000
-34.886,138.567,372500
-34.861,138.683,427500
-34.888,138.58,460000
-34.8333559,138.5897985,0
-34.882,138.578,0
-34.8628684,138.6063175,385000
-34.8478814,138.4899721,432500
-34.8364363,138.4899721,495000
-34.864,138.557,438000
-34.8417043,138.5996352,340000
-34.85025,138.659,355000
